id;height;width
0;403;1515
1;386;1495
2;386;1495
3;742;600
4;1178;2088
5;561;1346
6;561;1346
7;321;1533
8;321;1533
9;644;330
10;1286;420
11;1286;420
12;1286;420
13;401;1515
14;401;1515
15;403;1515
16;808;818
17;462;1115
18;462;1115
19;462;1115
20;935;2013
21;935;2013
22;853;1797
23;853;1797
24;853;1797
25;853;1797
26;701;910
27;708;1324
28;752;1913
29;665;1852
30;810;284
31;520;1130
32;520;1130
33;719;1905
34;719;1905
35;808;818
36;814;1020
37;814;1020
38;1030;2093
39;508;820
40;508;820
41;508;820
42;700;910
43;700;910
44;641;1455
45;701;860
46;701;860
47;781;2039
48;686;1528
49;674;1001
50;674;1001
51;567;1332
52;567;1332
53;719;381
54;769;399
55;663;433
56;663;433
57;605;1258
58;605;1258
59;365;1507
60;365;1507
61;380;1507
62;380;1507
63;721;335
64;621;335
65;699;1174
66;669;399
67;484;718
68;484;718
69;1069;598
70;1071;799
71;500;540
72;601;398
73;539;872
74;735;872
75;545;872
76;572;872
77;645;926
78;633;872
79;645;872
80;645;872
81;593;1190
82;593;1190
83;735;1957
84;666;2205
85;780;838
