id;height;width
0;519;823
1;535;637
2;535;637
3;535;637
4;535;637
5;1135;538
6;735;837
7;508;638
8;269;504
9;827;1822
10;827;1822
11;548;547
12;548;547
13;657;1032
14;408;838
15;514;813
16;514;813
17;519;823
18;718;1942
19;440;1743
20;440;1743
21;540;2043
22;1505;194
23;242;2092
24;1141;872
25;827;1822
26;827;1822
27;381;1170
28;656;875
29;656;875
30;656;875
31;656;1011
32;656;1011
33;656;1011
34;702;1124
35;718;1942
36;735;1485
37;1141;2422
38;1331;2422
39;741;408
40;1151;2587
41;1135;837
42;1102;619
43;702;334
44;819;1150
45;1382;2089
46;570;772
